H_mm,P_mbar,Tneedle_C,Tres_C,Tsurf_C,Dd_m,U_m_s,We,Ja,Dmaxb_m,Dmaxf_m,tmaxb_s,tmaxf_s,sourceb,sourcef,startframe,impactframe,endframe
1460,600,20.7,21,29.9,0.001281811,2.271075424,714.6895921,0.081478873,0.007298168,0.007270299,0.0040625,0.003359375,20221124__bottom__n7000_n7000_12800fps_20221124_175937,20221124__front__n7000_n7000_20221124_181323,1,148,498
1460,601,20.8,21,32.2,0.001309178,2.226694762,701.1156148,0.102535211,0.007112135,0.006976991,0.004609375,0.0046875,20221124__bottom__n7000_n7000_12800fps_20221124_180248,20221124__front__n7000_n7000_20221124_181621,1,153,503
1250,591,20.3,20.4,25.8,0.00130626,1.522987579,316.204207,0.04943662,0.006519701,0.006493526,0.0059375,0.00515625,20221122__bottom__n7000_n7000_12800fps_20221122_153453,20221122__front__n7000_n7000_12800fps_2211_1550,1,271,621
1250,593,20.4,20.5,25.8,0.001310935,1.521480561,316.6833158,0.048521127,0.006544843,0.006555963,0.00640625,0.005859375,20221122__bottom__n7000_n7000_12800fps_20221122_153831,20221122__front__n7000_n7000_12800fps_2211_1552,1,268,618
1250,594,20.5,20.6,25.3,0.001308894,1.522178088,316.4911063,0.043028169,0.006519179,0.006537232,0.006015625,0.00609375,20221122__bottom__n7000_n7000_12800fps_20221122_154207,20221122__front__n7000_n7000_12800fps_2211_1556,1,256,606
1220,596,20.4,20.7,24.9,0.001288973,1.36945094,250.0501332,0.038450704,0.006327494,0.006337431,0.0065625,0.0065625,20221122__bottom__n7000_n7000_12800fps_20221122_154752,20221122__front__n7000_n7000_12800fps_2211_1602,1,305,655
1220,597,20.5,20.7,26.2,0.001304518,1.364604744,251.1987208,0.050352113,0.006368832,0.006306212,0.006640625,0.006015625,20221122__bottom__n7000_n7000_12800fps_20221122_155211,20221122__front__n7000_n7000_12800fps_2211_1606,1,296,646
1220,599,20.6,20.8,25.6,0.001262405,1.371094049,245.5075702,0.043943662,0.006066784,0.006068949,0.006171875,0.006484375,20221122__bottom__n7000_n7000_12800fps_20221122_155519,20221122__front__n7000_n7000_12800fps_2211_1609,1,307,657
1190,600,20.7,20.8,25.8,0.001317921,1.210549588,197.4716422,0.045774648,0.006109212,0.006118899,0.006796875,0.00625,20221122__bottom__n7000_n7000_12800fps_20221122_160120,20221122__front__n7000_n7000_12800fps_2211_1615,1,352,702
1190,601,20.8,20.9,25.9,0.001271934,1.209085989,190.0944037,0.045774648,0.005878522,0.005931586,0.00640625,0.006796875,20221122__bottom__n7000_n7000_12800fps_20221122_160438,20221122__front__n7000_n7000_12800fps_2211_1618,1,340,690
1190,601,20.8,21,25.1,0.001271741,1.210791805,190.6302416,0.037535211,0.005970767,0.006025242,0.006875,0.006953125,20221122__bottom__n7000_n7000_12800fps_20221122_160900,20221122__front__n7000_n7000_12800fps_2211_1623,1,355,705
1170,602,20.8,20.9,25.3,0.001271155,1.059242064,143.7441707,0.04028169,0.005826155,0.005844173,0.007109375,0.007265625,20221122__bottom__n7000_n7000_12800fps_20221122_161230,20221122__front__n7000_n7000_12800fps_2211_1626,1,421,771
1170,603,20.8,20.9,25.5,0.001275782,1.057823015,143.8563073,0.042112676,0.005946131,0.005962805,0.0075,0.0078125,20221122__bottom__n7000_n7000_12800fps_20221122_161808,20221122__front__n7000_n7000_12800fps_2211_1632,1,403,753
1170,603,20.8,21,24.9,0.001258844,1.058478196,142.1327951,0.035704225,0.005707325,0.005744273,0.0075,0.007890625,20221122__bottom__n7000_n7000_12800fps_20221122_162413,20221122__front__n7000_n7000_12800fps_2211_1638,1,411,761
