# P [mbar],T_surf [°C],T_res [°C],T_ext [°C],T_needle [°C],time_H,time_M,time_S
5.817854911272181653e+02,2.568011260312636068e+01,1.995307495585960922e+01,2.245416166330714347e+01,2.008896433108957424e+01,2.000000000000000000e+01,4.800000000000000000e+01,3.600000000000000000e+01
5.814720851037241118e+02,2.623486047215025252e+01,1.998999233550396681e+01,2.245416166330714347e+01,2.012274115480218839e+01,2.000000000000000000e+01,4.900000000000000000e+01,5.300000000000000000e+01
5.811586790802299447e+02,2.568011260312636068e+01,1.998999233550396681e+01,2.245416166330714347e+01,2.008896433108957424e+01,2.000000000000000000e+01,5.200000000000000000e+01,1.000000000000000000e+01
5.817854911272181653e+02,2.449695666208618405e+01,1.998999233550396681e+01,2.245416166330714347e+01,2.002141170115401536e+01,2.000000000000000000e+01,5.600000000000000000e+01,4.000000000000000000e+01
5.814720851037241118e+02,2.409034303772907037e+01,1.998999233550396681e+01,2.248796225411615168e+01,1.998763589491079173e+01,2.000000000000000000e+01,5.800000000000000000e+01,3.100000000000000000e+01
5.817854911272181653e+02,2.379465494477161513e+01,1.998999233550396681e+01,2.248796225411615168e+01,1.998763589491079173e+01,2.100000000000000000e+01,1.000000000000000000e+00,7.000000000000000000e+00
5.820988971507123324e+02,2.590200075298701421e+01,2.002691012031514362e+01,2.248796225411615168e+01,1.995386042780375391e+01,2.100000000000000000e+01,3.000000000000000000e+00,2.400000000000000000e+01
5.824123031742064995e+02,2.531033159697729573e+01,1.998999233550396681e+01,2.252176318481869188e+01,1.992008529982276599e+01,2.100000000000000000e+01,7.000000000000000000e+00,3.600000000000000000e+01
5.830391152211947201e+02,2.431212618645687584e+01,1.998999233550396681e+01,2.252176318481869188e+01,1.985253606119800907e+01,2.100000000000000000e+01,1.100000000000000000e+01,2.700000000000000000e+01
5.827257091977006667e+02,2.397945695334874827e+01,1.998999233550396681e+01,2.248796225411615168e+01,1.988631051095768854e+01,2.100000000000000000e+01,1.300000000000000000e+01,7.000000000000000000e+00
5.824123031742064995e+02,2.386857452847461047e+01,1.998999233550396681e+01,2.248796225411615168e+01,1.985253606119800907e+01,2.100000000000000000e+01,1.500000000000000000e+01,9.000000000000000000e+00
5.827257091977006667e+02,2.619787442936276989e+01,1.998999233550396681e+01,2.252176318481869188e+01,1.981876195053321155e+01,2.100000000000000000e+01,1.800000000000000000e+01,2.000000000000000000e+01
5.830391152211947201e+02,2.590200075298701421e+01,2.002691012031514362e+01,2.248796225411615168e+01,1.978498817895428630e+01,2.100000000000000000e+01,1.900000000000000000e+01,4.000000000000000000e+01
5.833525212446888872e+02,2.523638028132197419e+01,1.998999233550396681e+01,2.255556445542527655e+01,1.964989648328328542e+01,2.100000000000000000e+01,2.200000000000000000e+01,9.000000000000000000e+00
